Producto,Tipo de Atributo,Frecuencia
Forever Skin Perfect 24H Multi-Use Foundation Stick,NGRAM_ATTRIBUTE,25
Forever Skin Perfect 24H Multi-Use Foundation Stick,GLOSSY_FINISH,1
Full Cover Concealer,NGRAM_ATTRIBUTE,2
Full Cover Concealer,GLOSSY_FINISH,1
Full Cover Concealer,OIL_CONTROL,1
Full Cover Concealer,PORE_MINIMIZING,1
Glam Eyeshadow Palette,COLOR_CORRECTION,1
Glam Face & Eye Palette,COLOR_CORRECTION,1
Glow Glide Face Architect Highlighter,NGRAM_ATTRIBUTE,5
Glow Glide Face Architect Highlighter,INDUSTRY_TERM,2
Glow Glide Face Architect Highlighter,GLOSSY_FINISH,1
Glow Goals Setting Spray And Highlighter Set,NGRAM_ATTRIBUTE,7
Glow Goals Setting Spray And Highlighter Set,GLOSSY_FINISH,1
Glow Goals Setting Spray And Highlighter Set,SKIN_TONE,1
Glowy Makeup Serum,NGRAM_ATTRIBUTE,8
Glowy Makeup Serum,COVERAGE,1
Glowy Makeup Serum,GLOSSY_FINISH,1
HD Skin Blush & Glow Longwear Cream Face Palette,NGRAM_ATTRIBUTE,2
HD Skin Blush & Glow Longwear Cream Face Palette,GLOSSY_FINISH,1
HD Skin Blush & Glow Longwear Cream Face Palette,OIL_CONTROL,1
HD Skin Blush & Glow Longwear Cream Face Palette,PORE_MINIMIZING,1
HD Skin Cream Contour and Highlight Sculpting Palette,NGRAM_ATTRIBUTE,2
HD Skin Cream Contour and Highlight Sculpting Palette,GLOSSY_FINISH,1
HD Skin Cream Contour and Highlight Sculpting Palette,OIL_CONTROL,1
HD Skin Cream Contour and Highlight Sculpting Palette,PORE_MINIMIZING,1
HD Skin Hydra Glow Hydrating Foundation with Hyaluronic Acid,NGRAM_ATTRIBUTE,10
HD Skin Hydra Glow Hydrating Foundation with Hyaluronic Acid,GLOSSY_FINISH,1
HD Skin Hydra Glow Hydrating Foundation with Hyaluronic Acid,HYDRATION_MOISTURE,1
